Id,source,SalePrice,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Bath
33,train,179900,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.051648837,2,3,Attchd,2007,-0.5271402,2
34,train,165500,3,3,BrkFace,BrkFace,0,4,1,CBlock,7,-0.120158152,2,3,Attchd,1959,0.393715521,1.5
35,train,277500,3,5,MetalSd,MetalSd,0,4,1,PConc,7,0.385975951,3,3,Attchd,2005,0.119039673,2
36,train,309000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.01283929,3,3,BuiltIn,2004,1.87973162,3.5
37,train,145000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.924614079,1,3,Attchd,1995,-0.797863878,1.5
38,train,153000,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,7,0.116656887,3,3,Attchd,1954,-0.40264683,1
39,train,109000,4,3,VinylSd,VinylSd,0,0,0,CBlock,7,-1.053488013,1,3,Detchd,1953,-0.876907287,1
40,train,82000,3,3,AsbShng,Plywood,0,0,0,PConc,7,-2.195772319,0,0,NoGarage,1894,-0.68917919,2
41,train,160000,3,3,Wd Sdng,Wd Sdng,2,3,1,CBlock,7,-0.152662177,2,3,Attchd,1965,-0.349292529,2
42,train,170000,4,3,VinylSd,VinylSd,0,4,2,CBlock,7,-0.76559522,2,3,Attchd,1959,-0.341388188,1.5
43,train,144000,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,0.14451748,2,3,Attchd,1983,-1.218770034,1
44,train,130250,3,3,VinylSd,VinylSd,3,0,0,CBlock,7,-0.76559522,1,3,Detchd,1977,-1.112061431,1
45,train,141000,3,3,BrkFace,Wd Sdng,0,0,0,CBlock,7,-0.802742677,2,3,Attchd,1959,-0.69313136,1
46,train,319900,3,5,MetalSd,MetalSd,0,4,1,PConc,7,0.478844594,2,3,Attchd,2005,0.496471953,2
47,train,239686,3,4,VinylSd,VinylSd,0,5,1,PConc,7,0.915327215,2,3,Attchd,2003,1.280977793,1.5
48,train,249700,3,4,VinylSd,VinylSd,0,0,0,PConc,7,1.639702629,2,3,Attchd,2006,0.30676777,2
49,train,113000,3,3,MetalSd,MetalSd,0,0,0,BrkTil,7,-2.195772319,0,0,NoGarage,1894,-0.096353618,2
50,train,127000,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,-0.403407513,1,3,Attchd,1966,-1.078467982,1
51,train,177000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,-0.394120649,3,3,Attchd,1997,-0.060784084,2
52,train,114500,3,3,Wd Sdng,Wd Sdng,3,4,1,PConc,7,0.255959851,1,3,Detchd,1985,-0.641753144,1
53,train,110000,3,2,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,0.200238665,1,3,CarPort,1963,-1.35314383,1
54,train,385000,3,4,WdShing,Wd Shng,0,4,1,CBlock,7,1.955456014,3,3,Attchd,1981,0.674319625,0.5
55,train,130000,3,3,MetalSd,MetalSd,3,3,1,CBlock,6,0.460270865,1,3,Detchd,1962,-0.27815346,1
56,train,180500,3,3,HdBoard,Plywood,0,4,1,CBlock,7,0.478844594,2,3,Attchd,1964,-0.14970792,2
57,train,172500,3,4,MetalSd,MetalSd,0,0,0,PConc,7,0.033075108,3,3,Attchd,1999,0.470782845,2.5
58,train,196500,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.42776684,2,3,Attchd,2004,0.433237225,2.5
59,train,438780,3,5,VinylSd,VinylSd,0,4,1,PConc,7,0.780667683,3,3,BuiltIn,2006,2.853941642,3.5
60,train,124900,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,-0.561284206,1,3,Detchd,1973,-1.424282898,1
61,train,158000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.478844594,1,3,Detchd,2006,-0.677322678,1.5
62,train,101000,3,3,MetalSd,MetalSd,0,0,0,BrkTil,7,-0.858463863,1,3,Detchd,1935,-0.770198685,1
63,train,202500,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.051648837,2,3,Attchd,2006,-0.258392608,2
64,train,140000,3,3,Stucco,Stucco,4,0,0,BrkTil,7,0.033075108,1,3,Detchd,1990,0.413476373,2
65,train,219500,3,3,VinylSd,VinylSd,4,0,0,PConc,7,0.799241411,2,3,Attchd,1998,1.05372799,2.5
66,train,317000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.760431864,2,3,BuiltIn,2004,1.92122941,2.5
67,train,180000,3,3,Plywood,Plywood,0,4,1,CBlock,6,0.478844594,2,3,Attchd,1970,1.395590736,2
68,train,226000,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.395262815,2,3,Attchd,2003,-0.042999317,2
69,train,80000,4,3,MetalSd,MetalSd,0,0,0,CBlock,7,-1.174217248,1,3,Attchd,1945,-1.489493711,1
70,train,225000,3,4,BrkFace,AsbShng,0,3,1,CBlock,7,0.901396918,3,3,Attchd,1953,1.553677555,2
71,train,244000,4,3,Plywood,Plywood,0,4,2,CBlock,7,0.200238665,3,3,Attchd,1973,1.4272081,2
72,train,129500,3,3,HdBoard,Plywood,0,0,0,CBlock,7,-0.524136749,1,3,Detchd,1987,-1.295837358,1
73,train,185000,3,3,VinylSd,VinylSd,0,3,1,PConc,7,-0.213026795,3,3,Attchd,1998,0.429285055,2.5
74,train,144900,3,3,Wd Sdng,Wd Sdng,2,0,0,CBlock,7,0.07950943,1,3,Attchd,1989,-0.819600815,1
75,train,107400,4,4,VinylSd,VinylSd,0,0,0,CBlock,7,-0.435911538,1,3,Detchd,1915,0.205987423,2
76,train,91000,3,3,CemntBd,CmentBd,2,0,0,CBlock,7,-0.816672973,1,3,BuiltIn,1973,-1.013257169,1
77,train,135750,3,3,VinylSd,VinylSd,0,0,0,CBlock,7,-0.881681023,1,3,Detchd,1956,-1.084396237,1
78,train,127000,3,3,Wd Sdng,Wd Sdng,3,0,0,CBlock,6,-1.081348605,1,3,Detchd,1948,-0.426359853,1
79,train,136500,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,0.528089317,2
80,train,110000,3,3,Wd Sdng,Wd Sdng,3,0,0,PConc,7,-0.152662177,1,3,Detchd,1966,-0.535044541,1.5
81,train,193500,4,3,VinylSd,VinylSd,0,4,1,CBlock,7,0.16773464,3,3,Attchd,1968,1.267145196,2.5
82,train,153500,4,3,VinylSd,VinylSd,0,0,0,PConc,7,-0.315182302,3,3,Attchd,1998,-0.323603421,2
83,train,245000,3,3,VinylSd,VinylSd,0,4,1,PConc,7,1.323949243,2,3,Attchd,2007,0.122991843,2
84,train,126500,3,3,MetalSd,MetalSd,0,0,0,CBlock,7,-0.055150102,1,3,Detchd,1974,-0.861098606,1.5
85,train,168500,3,3,HdBoard,HdBoard,0,3,1,PConc,7,-0.338399463,3,3,BuiltIn,1995,-0.052879743,2.5
86,train,260000,3,4,HdBoard,HdBoard,0,3,1,CBlock,7,-0.05050667,1,3,Attchd,1991,1.810568636,2.5
87,train,174000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,-0.338399463,3,3,BuiltIn,2005,0.117063587,2.5
88,train,164500,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.255959851,2,3,Detchd,2009,-0.546901053,2.5
89,train,85000,2,2,Plywood,Plywood,3,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,0.049876689,1
90,train,123600,3,3,VinylSd,VinylSd,0,0,0,PConc,7,-2.195772319,0,0,NoGarage,1894,-1.009304998,1
91,train,109900,3,3,BrkFace,Wd Sdng,0,0,0,Slab,7,-0.24553082,1,3,Detchd,1950,-0.910500736,1
92,train,98600,3,3,HdBoard,HdBoard,2,0,0,CBlock,7,0.033075108,1,3,Attchd,1961,-0.525164115,1
93,train,163500,4,3,Wd Sdng,Wd Sdng,0,0,0,BrkTil,7,-0.189809634,1,3,Detchd,1921,-1.060683215,1
94,train,133900,3,3,MetalSd,MetalSd,0,4,1,BrkTil,7,0.153804344,1,3,Detchd,1900,1.561581896,2
95,train,204750,4,3,VinylSd,VinylSd,0,0,0,PConc,7,0.980335265,2,3,Attchd,1997,0.563658851,2.5
96,train,185000,4,5,VinylSd,VinylSd,0,3,1,PConc,7,-0.24553082,3,3,BuiltIn,1993,-0.060784084,2.5
97,train,214000,3,4,VinylSd,VinylSd,0,0,0,PConc,7,-0.004072349,2,3,Attchd,1999,0.172393974,2
98,train,94750,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,-0.189809634,3,3,Attchd,1965,-1.068587556,1
99,train,83000,3,3,Wd Sdng,Wd Sdng,0,0,0,BrkTil,7,-0.496276156,1,2,Basment,1920,-1.31559821,1
100,train,128950,3,3,Plywood,Plywood,0,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,-0.544924967,1.5
101,train,205000,3,3,Plywood,Plywood,0,3,2,PConc,7,0.033075108,2,3,Attchd,1977,0.215867849,2
102,train,178000,3,4,HdBoard,HdBoard,0,3,1,CBlock,7,0.01450138,3,3,Attchd,1985,0.456950248,2.5
103,train,118964,2,3,HdBoard,HdBoard,0,0,0,Slab,7,-0.291965142,1,3,Attchd,1979,0.067661456,2
104,train,198900,3,3,VinylSd,VinylSd,0,0,0,PConc,7,1.240367465,2,3,Attchd,2009,-0.542948882,2
105,train,169500,2,3,Stucco,Stucco,0,3,2,PConc,7,-1.081348605,1,3,Detchd,1951,0.626893579,1.5
106,train,250000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.813171708,2,3,Attchd,2003,0.97073241,2.5
107,train,1.00E+05,3,3,VinylSd,VinylSd,0,0,0,BrkTil,7,-0.928115345,1,2,Detchd,1954,-0.89666814,1
108,train,115000,3,3,VinylSd,VinylSd,0,0,0,CBlock,7,-1.034914284,1,3,Detchd,1948,-1.406498131,1
109,train,115000,3,3,CemntBd,CmentBd,0,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,0.032091922,2
110,train,190000,3,3,Plywood,Plywood,3,3,1,CBlock,7,0.33954163,2,3,Attchd,1977,0.678271795,2
111,train,136900,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,-0.686656873,1,3,Attchd,1954,0.700008733,2
112,train,180000,3,3,VinylSd,VinylSd,0,3,1,PConc,7,-0.338399463,3,3,BuiltIn,2000,-0.139827494,2.5
113,train,383970,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.481825936,3,3,BuiltIn,2007,2.361896418,2.5
114,train,217000,4,3,Wd Sdng,Wd Sdng,3,4,2,CBlock,7,-0.106227856,1,3,Basment,1953,1.498347169,2
115,train,259500,3,3,Wd Sdng,Wd Sdng,3,3,1,CBlock,7,-1.359954534,1,3,Detchd,1945,1.618888368,2.5
116,train,176000,3,3,MetalSd,MetalSd,0,2,1,PConc,7,-0.152662177,1,3,Detchd,1999,-0.084497107,2.5
117,train,139000,3,3,Wd Sdng,Wd Sdng,0,1,1,CBlock,7,-0.858463863,1,3,Attchd,1962,-0.807744304,1
118,train,155000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,-0.199096499,1,3,Attchd,2007,-0.742533491,1.5
119,train,320000,3,3,Plywood,Plywood,0,3,2,PConc,7,0.562426372,1,3,Attchd,1990,3.401317253,3
120,train,163990,3,4,VinylSd,VinylSd,0,4,1,PConc,7,-0.384833784,3,3,Attchd,2005,-0.088449277,2.5
121,train,180000,3,3,Plywood,Plywood,0,3,2,CBlock,7,0.311681037,1,3,Attchd,1969,-1.013257169,1
122,train,1.00E+05,3,3,AsbShng,AsbShng,3,0,0,PConc,7,-0.969906234,1,3,Detchd,1979,-0.746485662,1
123,train,136000,4,3,MetalSd,MetalSd,0,0,0,CBlock,7,-0.858463863,1,3,Attchd,1958,-0.831457327,1
124,train,153900,3,4,Plywood,Plywood,0,0,0,PConc,7,0.265246715,2,3,Attchd,1993,-0.596303184,2
125,train,181000,4,3,HdBoard,HdBoard,0,3,1,CBlock,7,-0.175879338,1,3,Attchd,1979,0.168441804,2
126,train,84500,2,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,-1.475661115,1
127,train,128000,3,3,Plywood,Plywood,0,3,1,CBlock,7,-0.152662177,2,3,Attchd,1977,-1.072539726,2
128,train,87000,4,3,WdShing,Wd Sdng,0,3,1,BrkTil,7,-2.195772319,0,0,NoGarage,1894,-1.305717784,1
129,train,155000,3,3,VinylSd,VinylSd,0,2,1,CBlock,7,-0.09229756,2,3,Attchd,1966,-0.301866483,1.5
130,train,150000,3,3,Plywood,Plywood,1,0,0,CBlock,7,1.286801786,2,3,2Types,1998,-0.884811628,1.5
131,train,226000,3,3,MetalSd,MetalSd,4,4,2,CBlock,7,0.065579133,3,3,Attchd,1966,1.296786475,2.5
132,train,244000,3,4,VinylSd,VinylSd,0,3,1,PConc,7,-0.384833784,2,3,BuiltIn,2000,1.093249695,2.5
133,train,150750,3,3,MetalSd,MetalSd,0,0,0,CBlock,7,0.701729336,1,3,Detchd,1974,-0.343364273,1
134,train,220000,3,4,VinylSd,VinylSd,0,0,0,PConc,7,-0.008715781,3,3,Attchd,2001,-0.404622915,2
135,train,180000,3,3,Plywood,Plywood,3,3,1,CBlock,6,-0.152662177,2,3,Attchd,1968,0.435213311,2.5
136,train,174000,3,3,Plywood,Plywood,3,4,1,PConc,7,0.265246715,1,3,Attchd,1970,0.358145986,2
137,train,143000,3,3,MetalSd,MetalSd,0,2,1,CBlock,7,-0.719160898,2,3,Attchd,1967,-0.566661905,2
138,train,171000,3,3,VinylSd,VinylSd,0,0,0,CBlock,7,1.3610967,1,3,2Types,1989,0.905521597,3
139,train,230000,3,4,VinylSd,VinylSd,4,3,2,PConc,7,0.868892893,3,3,Attchd,1999,0.694080477,2.5
140,train,231500,3,3,VinylSd,VinylSd,3,0,0,PConc,7,-0.013359213,2,3,Attchd,1997,0.520184976,2.5
141,train,115000,3,3,HdBoard,HdBoard,0,1,1,CBlock,7,-2.195772319,0,0,NoGarage,1894,-1.258291738,1
142,train,260000,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.868892893,3,3,Attchd,2005,0.460902419,2
143,train,166000,2,3,BrkFace,Wd Sdng,3,0,0,CBlock,7,1.147498822,1,3,Detchd,2000,-0.228751329,2
144,train,204000,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.483488026,2,3,Attchd,1999,0.000474558,2
145,train,125000,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,0.14451748,1,3,Detchd,1963,0.449045907,2
146,train,130000,3,4,VinylSd,VinylSd,0,0,0,PConc,3,-0.431268106,1,3,Detchd,2004,0.411500288,2
147,train,105000,3,3,Wd Sdng,Wd Sdng,0,0,0,BrkTil,7,-1.359954534,1,2,Detchd,1931,-1.236554801,1
148,train,222500,3,4,VinylSd,VinylSd,0,4,1,PConc,7,-0.18052277,3,3,BuiltIn,2001,1.055704075,2.5
149,train,141000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,-2.195772319,0,0,NoGarage,1894,-0.831457327,1
150,train,115000,3,3,MetalSd,MetalSd,0,0,0,BrkTil,7,-1.081348605,1,2,Detchd,1936,-0.309770824,1
151,train,122000,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,-0.152662177,1,3,Attchd,1975,-1.050802788,1.5
152,train,372402,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.825439914,2,3,Attchd,2007,0.413476373,2
153,train,190000,3,3,HdBoard,HdBoard,2,4,1,CBlock,7,0.10272659,2,3,Attchd,1971,0.972708495,2.5
154,train,235000,3,3,BrkFace,Plywood,0,4,1,CBlock,7,0.423123408,2,3,Attchd,1960,-0.491570666,1
155,train,125000,3,3,Wd Sdng,Wd Sdng,0,0,0,BrkTil,7,-0.747021491,1,2,Detchd,1923,-0.594327098,1
156,train,79000,3,3,Wd Sdng,Wd Sdng,0,0,0,BrkTil,7,-2.195772319,0,0,NoGarage,1894,-0.799839963,1
157,train,109500,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,0.706372769,1,3,Detchd,1950,-0.910500736,1
158,train,269500,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.961761536,3,3,BuiltIn,2009,0.923306365,2.5
159,train,254900,3,4,VinylSd,VinylSd,2,4,1,PConc,7,0.952474672,2,3,Attchd,2004,0.881808575,2.5
160,train,320000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.478844594,2,3,Attchd,2006,1.899492472,2.5
161,train,162500,3,3,Plywood,Plywood,0,0,0,PConc,7,0.200238665,1,3,Attchd,1984,-0.531092371,2
162,train,412500,3,4,VinylSd,VinylSd,0,4,2,PConc,7,1.175359415,3,3,BuiltIn,2003,2.306566031,2.5
163,train,220000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,0.27453358,2,3,Attchd,2005,0.079517968,2
164,train,103200,3,3,MetalSd,MetalSd,3,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,-1.222722204,1
165,train,152000,4,3,MetalSd,MetalSd,0,0,0,BrkTil,7,-1.192790977,1,3,Detchd,1926,0.227724361,2
166,train,127500,4,3,Wd Sdng,Wd Sdng,0,0,0,BrkTil,7,-2.195772319,0,0,NoGarage,1894,-0.288033886,2
167,train,190000,3,4,Wd Sdng,Wd Sdng,2,4,3,CBlock,7,-0.788812381,3,3,Attchd,1955,0.723721755,1
168,train,325624,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.46789564,3,3,Attchd,2007,1.304690815,1.5
169,train,183500,3,4,VinylSd,VinylSd,0,4,1,PConc,7,-0.152662177,3,3,Attchd,2004,0.433237225,2.5
170,train,228000,3,4,Plywood,Plywood,0,3,1,CBlock,7,0.177021505,2,3,Attchd,1981,0.407548117,2.5
171,train,128500,3,3,MetalSd,MetalSd,0,0,0,CBlock,7,0.868892893,1,3,Detchd,1991,-0.234679585,1.5
172,train,215000,3,3,BrkFace,Plywood,0,4,2,CBlock,7,0.255959851,3,3,Attchd,1960,0.30676777,1
173,train,239000,4,4,HdBoard,HdBoard,0,3,1,PConc,7,0.14451748,2,4,Attchd,1987,0.526113232,2
174,train,163000,3,3,WdShing,Wd Shng,0,3,1,CBlock,7,0.14451748,1,3,Attchd,1961,-0.27420129,1.5
175,train,184000,3,3,VinylSd,Plywood,0,3,1,CBlock,5,0.664581879,3,3,Attchd,1986,0.296887344,2
176,train,243000,3,3,WdShing,Wd Shng,3,4,1,CBlock,7,0.478844594,1,3,Attchd,1950,1.29876256,2
177,train,211000,3,4,Plywood,Plywood,0,3,1,PConc,7,0.223455826,1,3,Attchd,1988,1.105106206,2.5
178,train,172500,4,4,MetalSd,MetalSd,0,4,1,CBlock,7,-0.101584424,1,3,Attchd,1958,0.828454273,2
179,train,501837,3,5,VinylSd,VinylSd,0,4,1,PConc,7,3.218469556,3,3,Attchd,2009,1.448945038,2
180,train,1.00E+05,3,4,Wd Sdng,Wd Sdng,0,0,0,CBlock,7,0.033075108,1,2,Detchd,1935,-1.052778874,1
181,train,177000,3,4,MetalSd,MetalSd,0,3,1,PConc,7,-0.152662177,1,3,Detchd,2000,0.047900604,2.5
182,train,200100,3,3,Stucco,Stucco,0,4,1,BrkTil,7,-1.192790977,1,2,Detchd,1920,0.595276215,1.5
183,train,120000,3,3,Wd Sdng,Wd Sdng,3,4,1,PConc,7,-1.02562742,2,3,Attchd,1957,-0.317675165,1
184,train,2.00E+05,3,3,VinylSd,VinylSd,0,0,0,PConc,4,0.051648837,1,3,Detchd,2003,1.148580082,2.5
185,train,127000,3,3,AsbShng,Plywood,3,0,0,PConc,7,0.478844594,1,3,Attchd,1986,-0.491570666,1
186,train,475000,4,4,Wd Sdng,Wd Sdng,4,3,2,BrkTil,7,1.704710679,1,5,Detchd,1993,4.164086155,2.5
187,train,173000,3,3,HdBoard,HdBoard,4,0,0,PConc,7,0.112013455,1,3,Attchd,1990,-0.560733649,2
188,train,135000,3,3,HdBoard,HdBoard,3,0,0,CBlock,5,-1.359954534,1,2,Detchd,1916,0.30676777,2.5
189,train,153337,3,3,Plywood,Plywood,0,3,2,CBlock,7,0.255959851,1,3,Detchd,1979,-0.546901053,1
190,train,286000,3,4,CemntBd,CmentBd,0,4,1,PConc,7,0.971048401,3,3,Attchd,2001,0.1822744,1.5
191,train,315000,3,4,BrkFace,BrkFace,0,3,2,CBlock,3,-0.152662177,1,3,Detchd,1932,2.42315506,2.5
192,train,184000,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,0.051648837,3,3,Attchd,1972,-0.042999317,1.5
193,train,192000,3,4,VinylSd,VinylSd,0,0,0,PConc,7,0.896753486,3,3,Attchd,1999,-0.137851408,2
194,train,130000,3,4,VinylSd,VinylSd,0,0,0,PConc,3,-0.431268106,1,3,Detchd,2004,0.411500288,2
195,train,127000,3,3,HdBoard,HdBoard,0,0,0,CBlock,7,-0.561284206,1,3,Detchd,1989,-1.258291738,1
196,train,148500,3,3,Plywood,Brk Cmn,0,3,1,CBlock,7,-0.152662177,1,3,Attchd,1976,-0.088449277,2.5
197,train,311872,3,5,CemntBd,CmentBd,0,4,1,PConc,7,1.453965343,3,3,Attchd,2007,0.445093737,2
198,train,235000,4,4,Stucco,Stucco,4,5,1,PConc,7,1.495756232,1,3,Detchd,1918,3.183947877,2
199,train,104000,3,3,Wd Sdng,Wd Sdng,3,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,1.439064612,1
200,train,274900,3,4,VinylSd,VinylSd,0,4,1,PConc,7,1.779005593,3,3,Attchd,2004,0.419404629,2
201,train,140000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,-0.152662177,2,3,Attchd,2003,-0.750437832,2
202,train,171500,3,3,Plywood,Plywood,3,2,2,CBlock,7,0.000571083,1,3,Detchd,1980,-0.438216365,2
203,train,112000,4,3,MetalSd,MetalSd,0,0,0,BrkTil,6,-0.347686327,1,3,Attchd,1924,-0.376957722,2
204,train,149000,3,4,VinylSd,VinylSd,0,4,1,PConc,7,-0.24553082,2,3,Attchd,2004,-1.289909102,1
205,train,110000,3,3,AsbShng,AsbShng,1,0,0,CBlock,7,-1.081348605,1,3,Detchd,1948,-0.428335938,1.5
206,train,180500,3,3,HdBoard,HdBoard,0,0,0,PConc,7,0.125943751,2,3,Attchd,1990,-0.116114471,2
207,train,143900,4,3,HdBoard,HdBoard,0,3,1,CBlock,5,-0.575214502,2,3,Attchd,1962,0.38581118,1.5
208,train,141000,3,3,Wd Sdng,Wd Sdng,2,1,1,PConc,7,-0.747021491,2,3,Attchd,1960,-0.791935622,1
209,train,277000,3,4,Plywood,Plywood,0,4,1,CBlock,7,-0.087654127,3,3,Attchd,1988,1.109058377,2.5
210,train,145000,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,0.14451748,2,3,Attchd,1964,-0.807744304,1
211,train,98000,3,3,Stucco,Stucco,0,0,0,CBlock,7,-2.195772319,0,0,NoGarage,1894,-1.258291738,1
212,train,186000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,-0.059793535,2,3,Attchd,2009,-0.570614075,2
213,train,252678,3,3,VinylSd,VinylSd,0,3,1,PConc,7,0.794597979,2,3,Attchd,2009,0.694080477,2.5
214,train,156000,3,3,VinylSd,VinylSd,0,0,0,PConc,7,0.478844594,1,3,Attchd,1996,-1.009304998,1
215,train,161750,3,3,HdBoard,HdBoard,3,0,0,CBlock,7,-0.807386109,3,3,Attchd,1977,-0.214918733,1.5
