Id,source,SalePrice,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
11,train,129500.0,GasA,4,1Story,1.0,1,Lvl,Gtl,11200.0,Inside,70.0,Reg,0.0,20,RL,0,None,none,0.0,2,Sawyer,0,3,3,HdBoard,HdBoard,0,0,0,CBlock,1,7,384,1,3,1,3,Detchd,1965,1040,0,1040,0,0,None,3,1Fam,3,1,906.0,0.0,3,1,1.0,0.0,3,134.0,Y,Norm,Norm,SBrkr,0,5,5,2,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1040.0,AllPub,0,1965,1965,2008
12,train,345000.0,GasA,4,2Story,1.0,3,Lvl,Gtl,11924.0,Inside,85.0,IR1,0.0,60,RL,286,Stone,none,0.0,7,NridgHt,0,3,5,WdShing,Wd Shng,0,4,2,PConc,3,7,736,3,3,3,3,BuiltIn,2005,2324,0,1182,1142,0,None,4,1Fam,3,1,998.0,0.0,6,1,1.0,0.0,5,177.0,Y,Norm,Norm,SBrkr,21,5,9,2,0,None,CompShg,Hip,Partial,New,0,Pave,11,1175.0,AllPub,147,2005,2006,2006
13,train,144000.0,GasA,2,1Story,1.0,1,Lvl,Gtl,12968.0,Inside,72.0,IR2,0.0,20,RL,0,None,none,0.0,9,Sawyer,0,3,3,HdBoard,Plywood,0,0,0,CBlock,1,7,352,1,3,1,3,Detchd,1962,912,0,912,0,0,None,2,1Fam,3,1,737.0,0.0,5,1,1.0,0.0,3,175.0,Y,Norm,Norm,SBrkr,0,6,5,2,0,None,CompShg,Hip,Normal,WD,176,Pave,4,912.0,AllPub,140,1962,1962,2008
14,train,279500.0,GasA,4,1Story,1.0,2,Lvl,Gtl,10652.0,Inside,91.0,IR1,0.0,20,RL,306,Stone,none,0.0,8,CollgCr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,7,840,3,3,2,3,Attchd,2006,1494,0,1494,0,0,None,3,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,4,1494.0,Y,Norm,Norm,SBrkr,33,5,7,2,0,None,CompShg,Gable,Partial,New,0,Pave,7,1494.0,AllPub,160,2006,2007,2007
15,train,157000.0,GasA,2,1Story,1.0,1,Lvl,Gtl,10920.0,Corner,73.0,IR1,0.0,20,RL,212,BrkFace,none,0.0,5,NAmes,176,3,3,MetalSd,MetalSd,2,2,1,CBlock,1,7,352,1,3,2,3,Attchd,1960,1253,1,1253,0,0,None,2,1Fam,3,1,733.0,0.0,4,1,1.0,0.0,3,520.0,Y,Norm,Norm,SBrkr,213,5,6,2,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1253.0,AllPub,0,1960,1960,2008
16,train,132000.0,GasA,4,1.5Unf,1.0,1,Lvl,Gtl,6120.0,Corner,51.0,Reg,0.0,45,RM,0,None,none,0.0,7,BrkSide,0,3,3,Wd Sdng,Wd Sdng,4,0,0,BrkTil,1,7,576,2,3,1,3,Detchd,1991,854,0,854,0,0,None,2,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,832.0,Y,Norm,Norm,FuseA,112,8,7,2,0,None,CompShg,Gable,Normal,WD,0,Pave,5,832.0,AllPub,48,1929,2001,2007
17,train,149000.0,GasA,4,1Story,1.0,1,Lvl,Gtl,11241.0,CulDSac,73.0,IR1,0.0,20,RL,180,BrkFace,Shed,700.0,3,NAmes,0,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,7,480,2,3,3,3,Attchd,1970,1004,0,1004,0,0,None,2,1Fam,3,1,578.0,0.0,5,1,1.0,0.0,3,426.0,Y,Norm,Norm,SBrkr,0,7,6,2,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1004.0,AllPub,0,1970,1970,2010
18,train,90000.0,GasA,2,1Story,2.0,1,Lvl,Gtl,10791.0,Inside,72.0,Reg,0.0,90,RL,0,None,Shed,500.0,10,Sawyer,0,3,3,MetalSd,MetalSd,0,0,0,Slab,2,7,516,2,3,1,3,CarPort,1967,1296,0,1296,0,0,None,2,Duplex,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,Y,Norm,Norm,SBrkr,0,5,4,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,0.0,AllPub,0,1967,1967,2006
19,train,159000.0,GasA,4,1Story,1.0,2,Lvl,Gtl,13695.0,Inside,66.0,Reg,0.0,20,RL,0,None,none,0.0,6,SawyerW,0,3,3,VinylSd,VinylSd,0,0,0,PConc,1,7,576,2,3,1,3,Detchd,2004,1114,1,1114,0,0,None,3,1Fam,3,1,646.0,0.0,6,1,1.0,0.0,3,468.0,Y,RRAe,Norm,SBrkr,102,5,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1114.0,AllPub,0,2004,2004,2008
20,train,139000.0,GasA,2,1Story,1.0,1,Lvl,Gtl,7560.0,Inside,70.0,Reg,0.0,20,RL,0,None,none,0.0,5,NAmes,0,3,3,BrkFace,Plywood,3,0,0,CBlock,1,6,294,1,3,1,3,Attchd,1958,1339,0,1339,0,0,None,3,1Fam,3,1,504.0,0.0,2,1,0.0,0.0,3,525.0,Y,Norm,Norm,SBrkr,0,6,5,2,0,None,CompShg,Hip,Abnorml,COD,0,Pave,6,1029.0,AllPub,0,1958,1965,2009
21,train,325300.0,GasA,4,2Story,1.0,2,Lvl,Gtl,14215.0,Corner,101.0,IR1,0.0,60,RL,380,BrkFace,none,0.0,11,NridgHt,0,3,4,VinylSd,VinylSd,0,4,1,PConc,3,7,853,3,3,2,3,BuiltIn,2005,2376,1,1158,1218,0,None,4,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,5,1158.0,Y,Norm,Norm,SBrkr,154,5,8,2,0,None,CompShg,Gable,Partial,New,0,Pave,9,1158.0,AllPub,240,2005,2006,2006
22,train,139400.0,GasA,4,1.5Unf,1.0,2,Bnk,Gtl,7449.0,Inside,57.0,Reg,0.0,45,RM,0,None,none,0.0,6,IDOTRR,205,3,3,Wd Sdng,Wd Sdng,4,4,1,PConc,1,7,280,1,3,1,3,Attchd,1930,1108,0,1108,0,0,Grvl,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,637.0,Y,Norm,Norm,FuseF,0,7,7,0,0,None,CompShg,Gable,Normal,WD,0,Pave,6,637.0,AllPub,0,1930,1950,2007
23,train,230000.0,GasA,4,1Story,1.0,2,Lvl,Gtl,9742.0,Inside,75.0,Reg,0.0,20,RL,281,BrkFace,none,0.0,9,CollgCr,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,7,534,2,3,2,3,Attchd,2002,1795,0,1795,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,4,1777.0,Y,Norm,Norm,SBrkr,159,5,8,2,0,None,CompShg,Hip,Normal,WD,0,Pave,7,1777.0,AllPub,171,2002,2002,2008
24,train,129900.0,GasA,2,1Story,1.0,1,Lvl,Gtl,4224.0,Inside,44.0,Reg,0.0,120,RM,0,None,none,0.0,6,MeadowV,0,3,3,CemntBd,CmentBd,0,3,1,PConc,1,7,572,2,3,1,3,Attchd,1976,1060,0,1060,0,0,None,3,TwnhsE,3,1,840.0,0.0,6,1,1.0,0.0,4,200.0,Y,Norm,Norm,SBrkr,110,7,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1040.0,AllPub,100,1976,1976,2007
25,train,154000.0,GasA,4,1Story,1.0,2,Lvl,Gtl,8246.0,Inside,72.0,IR1,0.0,20,RL,0,None,none,0.0,5,Sawyer,0,4,3,Plywood,Plywood,3,3,1,CBlock,1,7,270,1,3,1,3,Attchd,1968,1060,0,1060,0,0,None,3,1Fam,3,2,188.0,668.0,3,5,1.0,0.0,3,204.0,Y,Norm,Norm,SBrkr,90,8,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1060.0,AllPub,406,1968,2001,2010
26,train,256300.0,GasA,4,1Story,1.0,2,Lvl,Gtl,14230.0,Corner,110.0,Reg,0.0,20,RL,640,Stone,none,0.0,7,NridgHt,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,7,890,3,3,2,3,Attchd,2007,1600,0,1600,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,4,1566.0,Y,Norm,Norm,SBrkr,56,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1566.0,AllPub,0,2007,2007,2009
27,train,134800.0,GasA,2,1Story,1.0,2,Lvl,Gtl,7200.0,Corner,60.0,Reg,0.0,20,RL,0,None,none,0.0,5,NAmes,0,3,3,Wd Sdng,Wd Sdng,0,0,0,CBlock,1,7,576,2,3,1,3,Detchd,2005,900,0,900,0,0,None,3,1Fam,3,2,234.0,486.0,4,3,0.0,1.0,3,180.0,Y,Norm,Norm,SBrkr,32,7,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,5,900.0,AllPub,222,1951,2000,2010
28,train,306000.0,GasA,4,1Story,1.0,2,Lvl,Gtl,11478.0,Inside,98.0,Reg,0.0,20,RL,200,Stone,none,0.0,5,NridgHt,0,3,4,VinylSd,VinylSd,0,4,1,PConc,2,7,772,3,3,2,3,Attchd,2008,1704,0,1704,0,0,None,3,1Fam,3,1,1218.0,0.0,6,1,1.0,0.0,5,486.0,Y,Norm,Norm,SBrkr,50,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1704.0,AllPub,0,2007,2008,2010
29,train,207500.0,GasA,2,1Story,1.0,1,Lvl,Gtl,16321.0,CulDSac,47.0,IR1,0.0,20,RL,0,None,none,0.0,12,NAmes,0,3,3,MetalSd,MetalSd,0,4,2,CBlock,1,7,319,1,3,2,3,Attchd,1957,1600,0,1600,0,0,None,2,1Fam,3,4,1277.0,0.0,4,1,1.0,0.0,3,207.0,Y,Norm,Norm,SBrkr,258,6,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1484.0,AllPub,288,1957,1997,2006
30,train,68500.0,GasA,1,1Story,1.0,0,Lvl,Gtl,6324.0,Inside,60.0,IR1,0.0,30,RM,0,None,none,0.0,5,BrkSide,87,3,3,MetalSd,MetalSd,0,0,0,BrkTil,1,7,240,1,3,1,2,Detchd,1920,520,0,520,0,0,None,1,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,520.0,N,Feedr,RRNn,SBrkr,0,6,4,2,0,None,CompShg,Gable,Normal,WD,0,Pave,4,520.0,AllPub,49,1927,1950,2008
31,train,40000.0,GasA,2,2Story,1.0,1,Lvl,Gtl,8500.0,Inside,50.0,Reg,0.0,70,C (all),0,None,none,0.0,7,IDOTRR,172,2,3,BrkFace,BrkFace,3,0,0,BrkTil,1,7,250,1,2,1,3,Detchd,1920,1317,0,649,668,0,Pave,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,649.0,N,Feedr,Norm,SBrkr,54,4,4,0,0,None,CompShg,Gambrel,Normal,WD,0,Pave,6,649.0,AllPub,0,1920,1950,2008
32,train,149350.0,GasA,3,1Story,1.0,2,Lvl,Gtl,8544.0,CulDSac,72.0,IR1,0.0,20,RL,0,None,none,0.0,6,Sawyer,0,3,3,HdBoard,HdBoard,3,0,0,CBlock,1,7,271,1,3,1,3,Attchd,1966,1228,1,1228,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,3,1228.0,Y,Norm,Norm,SBrkr,65,6,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1228.0,AllPub,0,1966,2006,2008
33,train,179900.0,GasA,4,1Story,1.0,2,Lvl,Gtl,11049.0,Corner,85.0,Reg,0.0,20,RL,0,None,none,0.0,1,CollgCr,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,7,484,2,3,2,3,Attchd,2007,1234,0,1234,0,0,None,3,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,5,1234.0,Y,Norm,Norm,SBrkr,30,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1234.0,AllPub,0,2007,2007,2008
34,train,165500.0,GasA,3,1Story,1.0,2,Lvl,Gtl,10552.0,Inside,70.0,IR1,0.0,20,RL,0,None,none,0.0,4,NAmes,0,3,3,BrkFace,BrkFace,0,4,1,CBlock,1,7,447,2,3,2,3,Attchd,1959,1700,1,1700,0,0,None,4,1Fam,3,1,1018.0,0.0,3,1,0.0,1.0,3,380.0,Y,Norm,Norm,SBrkr,38,5,5,2,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1398.0,AllPub,0,1959,1959,2010
35,train,277500.0,GasA,4,1Story,1.0,3,Lvl,Gtl,7313.0,Inside,60.0,Reg,0.0,120,RL,246,BrkFace,none,0.0,8,NridgHt,0,3,5,MetalSd,MetalSd,0,4,1,PConc,2,7,556,2,3,3,3,Attchd,2005,1561,0,1561,0,0,None,2,TwnhsE,3,1,1153.0,0.0,6,1,1.0,0.0,5,408.0,Y,Norm,Norm,SBrkr,47,5,9,2,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1561.0,AllPub,203,2005,2005,2007
36,train,309000.0,GasA,4,2Story,1.0,2,Lvl,Gtl,13418.0,Inside,108.0,Reg,0.0,60,RL,132,Stone,none,0.0,9,NridgHt,0,3,4,VinylSd,VinylSd,0,4,1,PConc,3,7,691,3,3,3,3,BuiltIn,2004,2452,1,1132,1320,0,None,4,1Fam,3,3,0.0,0.0,1,1,0.0,0.0,5,1117.0,Y,Norm,Norm,SBrkr,32,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,9,1117.0,AllPub,113,2004,2005,2006
37,train,145000.0,GasA,4,1Story,1.0,1,Lvl,Gtl,10859.0,Corner,112.0,Reg,0.0,20,RL,0,None,none,0.0,6,CollgCr,0,3,3,VinylSd,VinylSd,0,0,0,PConc,1,7,672,2,3,1,3,Attchd,1995,1097,1,1097,0,0,None,3,1Fam,3,1,0.0,0.0,1,1,0.0,0.0,4,1097.0,Y,Norm,Norm,SBrkr,64,5,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1097.0,AllPub,392,1994,1995,2009
38,train,153000.0,GasA,3,1Story,1.0,1,Lvl,Gtl,8532.0,Inside,74.0,Reg,0.0,20,RL,650,BrkFace,none,0.0,10,NAmes,0,3,3,Wd Sdng,Wd Sdng,0,3,1,CBlock,1,7,498,2,3,3,3,Attchd,1954,1297,0,1297,0,0,None,3,1Fam,3,1,1213.0,0.0,3,1,0.0,1.0,3,84.0,Y,Norm,Norm,SBrkr,0,6,5,2,0,None,CompShg,Hip,Normal,WD,0,Pave,5,1297.0,AllPub,0,1954,1990,2009
39,train,109000.0,GasA,2,1Story,1.0,2,Lvl,Gtl,7922.0,Inside,68.0,Reg,0.0,20,RL,0,None,none,0.0,1,NAmes,0,4,3,VinylSd,VinylSd,0,0,0,CBlock,1,7,246,1,3,1,3,Detchd,1953,1057,0,1057,0,0,None,3,1Fam,3,1,731.0,0.0,6,1,1.0,0.0,3,326.0,Y,Norm,Norm,SBrkr,52,7,5,2,0,None,CompShg,Gable,Abnorml,WD,0,Pave,5,1057.0,AllPub,0,1953,2007,2010
40,train,82000.0,GasA,2,1Story,2.0,0,Lvl,Gtl,6040.0,Inside,65.0,Reg,0.0,90,RL,0,None,none,0.0,6,Edwards,0,3,3,AsbShng,Plywood,0,0,0,PConc,2,7,0,0,0,0,0,NoGarage,1894,1152,0,1152,0,0,None,2,Duplex,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,N,Norm,Norm,FuseP,0,5,4,0,0,None,CompShg,Gable,AdjLand,WD,0,Pave,6,0.0,AllPub,0,1955,1955,2008
41,train,160000.0,GasA,4,1Story,1.0,1,Lvl,Gtl,8658.0,Inside,84.0,Reg,0.0,20,RL,101,BrkFace,none,0.0,12,NAmes,0,3,3,Wd Sdng,Wd Sdng,2,3,1,CBlock,2,7,440,2,3,2,3,Attchd,1965,1324,0,1324,0,0,None,3,1Fam,3,1,643.0,0.0,3,1,0.0,0.0,3,445.0,Y,Norm,Norm,SBrkr,138,5,6,2,0,None,CompShg,Gable,Abnorml,WD,0,Pave,6,1088.0,AllPub,0,1965,1965,2006
42,train,170000.0,GasA,3,1Story,1.0,1,Lvl,Gtl,16905.0,Inside,115.0,Reg,0.0,20,RL,0,None,none,0.0,7,Timber,0,4,3,VinylSd,VinylSd,0,4,2,CBlock,1,7,308,1,3,2,3,Attchd,1959,1328,1,1328,0,0,None,2,1Fam,3,4,967.0,0.0,4,1,0.0,1.0,3,383.0,Y,Norm,Norm,SBrkr,104,6,5,1,0,None,CompShg,Gable,Normal,WD,0,Pave,5,1350.0,AllPub,0,1959,1959,2007
43,train,144000.0,GasA,3,SFoyer,1.0,2,Lvl,Gtl,9180.0,CulDSac,67.0,IR1,0.0,85,RL,0,None,none,0.0,12,SawyerW,0,3,3,HdBoard,HdBoard,3,0,0,CBlock,1,7,504,2,4,2,3,Attchd,1983,884,0,884,0,0,None,2,1Fam,3,3,747.0,93.0,5,2,1.0,0.0,4,0.0,Y,Norm,Norm,SBrkr,0,7,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,5,840.0,AllPub,240,1983,1983,2007
44,train,130250.0,GasA,2,1Story,1.0,1,Lvl,Gtl,9200.0,CulDSac,70.0,IR1,0.0,20,RL,0,None,none,0.0,7,CollgCr,0,3,3,VinylSd,VinylSd,3,0,0,CBlock,1,7,308,1,3,1,3,Detchd,1977,938,0,938,0,0,None,3,1Fam,3,3,280.0,491.0,2,4,1.0,0.0,4,167.0,Y,Norm,Norm,SBrkr,0,6,5,2,0,None,CompShg,Hip,Normal,WD,0,Pave,5,938.0,AllPub,145,1975,1980,2008
45,train,141000.0,GasA,4,1Story,1.0,1,Lvl,Gtl,7945.0,Inside,70.0,Reg,0.0,20,RL,0,None,none,0.0,5,NAmes,0,3,3,BrkFace,Wd Sdng,0,0,0,CBlock,1,7,300,1,3,2,3,Attchd,1959,1150,0,1150,0,0,None,3,1Fam,3,1,179.0,506.0,5,4,1.0,0.0,3,465.0,Y,Norm,Norm,FuseA,0,6,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,1150.0,AllPub,0,1959,1959,2006
46,train,319900.0,GasA,4,1Story,1.0,3,Lvl,Gtl,7658.0,Inside,61.0,Reg,0.0,120,RL,412,BrkFace,none,0.0,2,NridgHt,0,3,5,MetalSd,MetalSd,0,4,1,PConc,2,7,576,2,3,2,3,Attchd,2005,1752,0,1752,0,0,None,2,TwnhsE,3,1,456.0,0.0,6,1,1.0,0.0,5,1296.0,Y,Norm,Norm,SBrkr,82,5,9,2,0,None,CompShg,Hip,Normal,WD,0,Pave,6,1752.0,AllPub,196,2005,2005,2010
47,train,239686.0,GasA,4,1.5Fin,1.0,2,Lvl,Gtl,12822.0,CulDSac,48.0,IR1,0.0,50,RL,0,None,none,0.0,8,Mitchel,0,3,4,VinylSd,VinylSd,0,5,1,PConc,1,7,670,2,3,2,3,Attchd,2003,2149,1,1518,631,0,None,1,1Fam,3,1,1351.0,0.0,6,1,1.0,0.0,5,83.0,Y,Norm,Norm,SBrkr,43,5,7,2,0,None,CompShg,Gable,Abnorml,WD,198,Pave,6,1434.0,AllPub,168,2003,2003,2009
48,train,249700.0,GasA,4,1Story,1.0,2,Lvl,Gtl,11096.0,Inside,84.0,Reg,0.0,20,FV,0,None,none,0.0,7,Somerst,0,3,4,VinylSd,VinylSd,0,0,0,PConc,2,7,826,3,3,2,3,Attchd,2006,1656,0,1656,0,0,None,3,1Fam,3,3,24.0,0.0,6,1,0.0,0.0,4,1632.0,Y,Norm,Norm,SBrkr,146,5,8,2,0,None,CompShg,Gable,Normal,WD,0,Pave,7,1656.0,AllPub,0,2006,2006,2007
49,train,113000.0,GasA,3,2Story,3.0,1,Lvl,Gtl,4456.0,Inside,33.0,Reg,0.0,190,RM,0,None,none,0.0,6,OldTown,102,3,3,MetalSd,MetalSd,0,0,0,BrkTil,2,7,0,0,0,0,0,NoGarage,1894,1452,0,736,716,0,None,2,2fmCon,3,1,0.0,0.0,1,1,0.0,0.0,3,736.0,Y,Norm,Norm,SBrkr,0,5,4,0,0,None,CompShg,Gable,Partial,New,0,Pave,8,736.0,AllPub,0,1920,2008,2009
50,train,127000.0,GasA,4,1Story,1.0,1,Lvl,Gtl,7742.0,Inside,66.0,Reg,0.0,20,RL,0,None,none,0.0,1,Sawyer,0,3,3,HdBoard,HdBoard,3,0,0,CBlock,1,7,386,1,3,1,3,Attchd,1966,955,0,955,0,0,None,3,1Fam,3,1,763.0,0.0,4,1,1.0,0.0,3,192.0,Y,Norm,Norm,SBrkr,0,7,5,2,0,None,CompShg,Gable,Normal,WD,0,Pave,6,955.0,AllPub,0,1966,1966,2007
